"Vremenska oznaka","Vrsta poslovnog subjekta","Broj zaposlenih","Mjesto u kojem je sjedište poslovnog subjekta","Starost poslovnog subjekta","Sektori unutar IT-a (prema NKD)","Otvoreni podaci su javno dostupni.","Otvorene podatke ne smije se dalje dijeliti bez pristanka vlasnika.","Otvoreni podaci u nekim slučajevima mogu podlijegati zaštiti tajnosti i privatnosti.","Otvorene podatke smije se koristiti samo u nekomercijalne svrhe.","Neprofitne organizacije otvorene podatke mogu koristiti bez naknade, dok tvrtke moraju platiti naknadu za korištenje.","Zabranjeno je otvorene podatke strojno (računalno) obrađivati bez pristanka vlasnika.","Objavljivanje otvorenih podataka ne smije se financirati javnim sredstvima.","Otvoreni podaci su objavljeni kao što su i prikupljeni, tj. nisu uređivani niti agregirani.","Otvoreni podaci objavljuju se što je prije moguće kako zbog nerelevantnosti ne bi izgubili na vrijednosti.","Otvoreni podaci moraju biti dostupni na način da ih što šira populacija može pribaviti (npr. putem interneta).","Otvoreni podaci su pohranjeni na način da ih se može strojno obraditi.","Otvoreni podaci moraju biti dostupni svima bez diskriminacije.","Poželjno je da su otvoreni podaci pohranjeni u formatu koji je komercijalan i podliježe autorskim pravima kako bi se otvorene podatke na taj način dodatno zaštitilo.","Otvoreni podaci moraju biti zaštićeni licencom koja dopušta slobodno preuzimanje, korištenje i dijeljenje bez ikakvih restrikcija.","Pokazalo se kako otvoreni podaci nemaju utjecaja na rast gospodarstva.","Korištenje otvorenih podataka u tvrtkama može biti vrlo  isplativo.","Nema poslovnih modela koji bi uključivali otvorene podatke kao središnju djelatnost.","U Hrvatskoj se trenutno nigdje ne objavljuju otvoreni podaci.","Korištenjem otvorenih podataka možete biti uspješniji od konkurencije.","Lako je pronaći otvorene podatke.","Podaci o otvorenim podacima (meta-podaci) teško su dostupni.","Koristi li Vaš poslovni subjekt otvorene podatke?","Prosječan broj zaposlenika koji na svom radnom mjestu: a) koriste otvorene podatke, b) razvijaju aplikacije koje koriste otvorene podatke ili c) rade na pružanju usluga temeljenih na otvorenim podacima","Ostvaruje li vaš poslovni subjekt dobit temeljem korištenja otvorenih podataka?","Koji je postotak vašeg prometa u 2016. godini izravno povezan s korištenjem otvorenih podataka? Pokušajte dati svoju najbolju procjenu.","Mislite li da bi Vaš poslovni subjekt mogao ostvariti dobit temeljem korištenja otvorenih podataka?","Mislite li da Vaša tvrtka za ostvarivanje poslovnih ciljeva u dovoljnoj mjeri iskorištava potencijal otvorenih podataka?","Je li korištenje otvorenih podataka dio temeljne djelatnosti Vašeg poslovnog subjekta?","Koji poslovni model najbolje opisuje Vašu tvrtku kod korištenja otvorenih podataka?","Ako znate, navedite barem jedno web mjesto za koje znate da nudi otvorene podatke (URL ili naziv web mjesta)","Objavljujete li otvorene podatke?","Postoje li neke barijere zbog kojih ste se dvoumili ili odustali od korištenja otvorenih podataka? ","Ukratko navedite i/ili opišite barijere zbog kojih ste se dvoumili ili odustali od korištenja otvorenih podataka? "
"2017/12/22 12:54:43 PM CET","Dioničko društvo (d.d.)","0 - 10","Varaždin","6 - 10 godina","Ostalo","3","3","3","3","2","3","3","3","3","2","5","3","3","3","2","2","3","4","3","4","3","Ne","","","","Ne","","","","","Ne","Ne",""
"2017/12/22 1:12:27 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","0 - 10","Watford, United Kingdom","3 - 5 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","5","1","1","1","1","1","3","3","5","5","4","1","4","2","3","5","1","4","5","4","Da","1-10","Ne","","Ne","","","","EU Open Data Portal http://data.europa.eu/euodp/en/home","Da","Ne",""
"2017/12/22 1:28:47 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","51 - 250","Zagreb","više od 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima;(63) Informacijske uslužne djelatnost","3","2","5","2","1","2","1","2","1","2","1","4","5","3","3","4","1","1","4","1","1","Ne","","","","Ne","","","","","Ne","Ne",""
"2017/12/22 2:08:55 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","11 - 50","zadar","više od 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima;(63) Informacijske uslužne djelatnost;Ostalo","5","2","4","2","2","2","1","1","2","5","5","5","2","2","2","4","3","1","4","4","2","Da","1-10","Da","0 - 5%","","Ne","Ne","Omogućitelj podataka","google maps,, linux distribucije, registri posl. subjekata rh","Ne","Ne",""
"2017/12/22 2:52:23 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","0 - 10","Zagreb","više od 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","5","1","1","1","1","3","2","4","5","5","5","5","3","3","5","1","3","5","4","3","Ne","","","","Da","","","","","Ne","Ne",""
"2017/12/22 4:21:08 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","11 - 50","Zagreb","6 - 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","1","1","1","3","1","1","5","5","5","5","5","1","5","1","5","4","4","3","1","5","Da","11-50","Da","0 - 5%","","Ne","Da","Obogatitelj podataka","","Ne","Ne",""
"2017/12/22 4:56:04 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","0 - 10","Čakovec","više od 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","1","5","1","1","1","5","5","5","5","5","5","1","1","1","5","3","1","5","5","1","Ne","","","","Ne","","","","https://data.gov.hr/","Ne","Ne",""
"2018/01/02 12:33:45 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","51 - 250","Osijek","6 - 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","1","1","1","1","1","3","3","4","4","3","5","3","3","3","3","3","3","3","3","3","Da","11-50","Ne","","Ne","","","","https://data.gov.hr","Ne","Ne",""
"2018/01/02 4:55:48 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","11 - 50","Zagreb","3 - 5 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima;(63) Informacijske uslužne djelatnost","5","1","3","5","4","2","4","4","4","4","4","4","4","4","3","4","4","3","4","2","3","Da","1-10","Ne","","Da","","","","","Ne","Ne",""
"2018/01/04 2:25:02 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","51 - 250","Zagreb","više od 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima;(63) Informacijske uslužne djelatnost","5","1","2","5","3","1","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","Ne","","","","Ne","","","","","Ne","Ne",""
"2018/01/12 11:21:23 AM CET","Društvo s ograničenom odgovornošću (d.o.o.)","51 - 250","Jalkovec","više od 10 godina","(58) Izdavačke djelatnosti;(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima;Ostalo","4","1","1","1","1","1","1","5","2","5","5","5","1","5","3","3","3","1","3","4","2","Da","1-10","Ne","","Da","","","","https://data.gov.hr","Ne","Ne",""
"2018/01/12 4:29:51 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","0 - 10","Čakovec","više od 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","1","1","1","1","1","1","1","5","5","5","5","1","1","1","5","2","1","4","3","3","Ne","","","","Da","","","","https://data.gov.hr/data/search","Ne","Ne",""
"2018/01/12 7:06:43 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","11 - 50","Varaždin","6 - 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","1","1","1","1","1","3","1","1","5","5","5","1","1","2","5","1","1","3","5","1","Ne","","","","Ne","","","","https://data.gov.hr/data/search","Ne","Ne",""
"2018/01/15 10:28:53 AM CET","Društvo s ograničenom odgovornošću (d.o.o.)","51 - 250","Osijek","6 - 10 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Ne","","","","Ne","","","","","Ne","Ne",""
"2018/01/17 12:22:49 PM CET","Društvo s ograničenom odgovornošću (d.o.o.)","11 - 50","Osijek","3 - 5 godina","(62) Računalno programiranje, savjetovanje i djelatnosti povezane s njima","5","1","3","2","3","1","1","1","5","5","5","5","3","5","3","4","3","1","3","4","3","Ne","","","","Ne","","","","https://data.gov.hr/","Ne","Ne",""
"2018/01/21 11:02:44 AM CET","Dioničko društvo (d.d.)","11 - 50","Zagreb","3 - 5 godina","(63) Informacijske uslužne djelatnost","5","1","3","1","1","1","3","5","3","3","5","5","5","5","3","5","1","2","4","2","3","Ne","","","","Ne","","","","https://data.gov.hr/","Ne","Ne",""